Years,Percent_RUL
0,100
0.215131,99.8178
0.531525,99.8197
0.732868,99.8209
0.819157,99.8215
0.93421,99.8222
1.13561,99.4558
1.36574,99.2733
1.50956,99.2742
1.62461,99.2749
1.7109,99.2755
1.85471,99.2763
1.99853,99.2772
2.0849,98.7263
2.25754,98.3597
2.31506,98.36
2.40135,98.3606
2.51643,98.1774
2.6603,97.8107
2.86167,97.6281
3.06301,97.6293
3.20689,97.2626
3.26444,97.0791
3.37957,96.5283
3.49463,96.529
3.52347,95.9777
3.63861,95.427
3.72495,95.0598
3.84023,93.59
3.89778,93.4065
3.9841,93.2232
4.01303,92.1204
4.09932,92.121
4.21445,91.5702
4.38714,90.836
4.41604,89.917
4.61758,88.6315
4.73268,88.2645
4.93414,87.5305
5.0493,86.7959
5.19323,86.0615
5.33715,85.327
5.4235,84.9599
5.59621,84.0419
5.7114,83.1235
5.76904,82.3885
5.91291,82.0217
6.11439,81.1039
6.17203,80.3689
6.37354,79.2672
6.43106,79.2676
6.54628,78.1653
6.66139,77.7984
6.74776,77.2474
6.86292,76.5128
6.9205,76.1456
7.00688,75.5946
7.2372,74.1254
7.29478,73.7581
7.43876,72.6561
7.49635,72.2888
7.61148,71.738
7.66904,71.5545
7.78428,70.2685
7.95705,68.9828
8.1009,68.7998
8.21606,68.0652
8.44641,66.4122
8.70553,64.7594
8.84951,63.6573
8.93597,62.5549
9.19505,61.0859
9.33901,60.1677
9.48293,59.4333
9.62697,57.9636
9.79969,57.0455
9.88612,56.1269
9.97249,55.576
10.0876,55.0252
10.2028,54.2906
10.3467,53.3724
10.462,51.9025
10.6923,50.8009
10.8075,49.8825
10.9226,49.1479
11.0666,47.8621
11.2394,46.944
11.4121,46.2098
11.4697,45.4748
11.6712,44.5569
11.8438,44.0065
11.9592,42.169
12.1319,41.0671
12.2758,40.5165
12.5062,38.6797
12.6502,37.5776
13.0243,36.1093
13.1971,34.6398
13.341,34.0892
13.4562,33.3546
13.629,31.8851
13.6866,31.1501
13.888,30.5999
14.0607,30.0495
14.1471,28.9471
14.3774,28.2132
14.4925,27.8462
14.6077,26.744
14.8667,25.8265
15.0106,24.9082
15.1834,23.8063
15.3274,22.5204
15.6439,21.9709
15.7302,21.6038
15.8454,20.6854
16.1044,19.9517
16.2196,19.2171
16.3635,18.2988
16.5361,17.9323
16.6801,17.1978
16.8527,16.6474
17.0254,16.2808
17.2556,15.1793
17.5434,14.2619
17.7161,13.5277
17.975,13.1616
18.2053,12.0601
18.4931,11.1428
18.6945,10.7763
18.8671,10.2259
19.0974,9.30822
19.3275,8.94198
19.6728,8.39262
19.9893,7.29162
20.2195,6.74156
20.6223,5.82491
20.9388,5.64302
21.2265,5.09331
21.5717,4.54396
21.8019,4.17772
22.0608,3.99548
22.4923,3.26283
22.8375,2.8973
23.2403,2.53212
23.5279,2.53388
23.7868,2.16782
23.9594,2.16887
24.2759,1.80317
24.5347,1.80475
24.7648,1.80616
25.11,1.80828
25.4264,1.44257
25.6278,1.25998
25.973,1.07827
26.2894,1.08021
26.4332,1.08109
26.8359,0.899732
27.066,0.717318
27.1811,0.5342
27.5838,0.536667
27.8139,0.721901
28.044,0.723311
28.2454,0.540721
28.5618,0.542659
29.1658,0.54636
29.3384,0.363594
29.5685,0.365004
