index,Site,Event Date,WUC,Failure,R&R,Action Taken,Rem Sn,Ins Sn,How Mal
3220,,7/7/2017,JB200          ,0,0,X,               ,804,801
3239,,8/16/2017,JB200          ,0,0,X,               ,627,801
3244,,8/28/2017,JB200          ,0,0,X,               ,626,801
1700,1.00E+01,10/4/2010,03YR1,,,,,,0
1869,1.00E+01,5/3/2011,JA200,,,X,,,799
2144,1.00E+01,12/20/2011,03YR1,,,,,,0
2508,1.00E+01,1/24/2013,,,,,,,801
2684,1.00E+01,8/26/2013,03YR1,,,,,,0
2685,1.00E+01,8/26/2013,03YR1,,,,,,0
2726,1.00E+01,12/18/2013,JA200,,,X,,,799
2727,1.00E+01,12/21/2013,JA200,,,X,,,799
2728,1.00E+01,12/22/2013,JA200,,,H,,,799
2732,1.00E+01,12/27/2013,JA200,,,X,,,799
3132,1.00E+01,11/14/2016,JA200          ,0,0,X,               ,               ,799
3210,1.00E+01,6/20/2017,JA200          ,0,0,X,               ,               ,799
3211,1.00E+01,6/23/2017,JA200          ,0,0,Y,               ,               ,721
3212,10,6/26/2017,JA210          ,1,1,R,90,55,721
3213,1.00E+01,6/26/2017,JA210          ,0,0,Q,               ,90,799
3219,1.00E+01,7/7/2017,JA200          ,0,0,X,               ,               ,799
2008,1.00E+02,7/11/2011,03YR1,,,,,,0
2273,1.00E+02,5/16/2012,,,,,,523,801
2617,1.00E+02,7/22/2013,03YR1,,,,,,0
3027,1.00E+02,10/4/2015,JB000          ,0,0,Y,               ,               ,615
3028,1.00E+02,10/7/2015,JB000          ,0,0,X,               ,               ,799
3029,1.00E+02,10/8/2015,JB000          ,0,0,Y,               ,               ,721
3030,1.00E+02,10/12/2015,JB200          ,0,0,G,               ,               ,105
1553,1.00E+03,4/5/2010,,,,,,,801
2009,1.00E+03,7/11/2011,03YR1,,,,,,0
2618,1.00E+03,7/22/2013,03YR1,,,,,,0
1618,10000,5/27/2010,JB200,1,,G,,,169
2010,1.00E+04,7/11/2011,03YR1,,,,,,0
